time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
87;1;1000.000000;10440.000000;1.8;590964;1627192;21;4.0;19;3.9;3.9;7.9;17;2.9;9.9;4.9;6.9;4.9;4.9;2.9;0.90
88;1;2584.000000;5192.000000;1.8;590964;1627192;21;3.9;19;1.00;2.0;6.0;14;11;12;3.0;8.0;6.0;8.0;1.00;1.00
89;1;2600.000000;5016.000000;1.8;590964;1627192;21;3.8;19;2.0;2.0;6.0;2.0;20;10;1.00;1.00;15;6.0;1.00;1.00
90;1;1664.000000;7744.000000;1.8;590964;1627192;21;4.1;19;2.9;0.90;4.9;0.90;17;9.9;1.9;1.9;13;5.9;7.9;3.9
91;1;1784.000000;13224.000000;1.8;590964;1627192;21;4.0;19;1.9;0.90;7.9;5.9;0.90;16;3.9;2.9;6.9;4.9;16;1.9
92;1;1168.000000;16088.000000;1.8;590964;1627192;21;4.2;19;6.0;2.0;6.0;3.0;2.0;27;14;2.0;1.00;6.0;2.0;5.0
93;1;856;5544.000000;1.8;590964;1627192;21;4.2;19;15;2.0;6.0;2.0;2.0;9.0;22;1.00;4.0;5.0;3.0;2.0
94;1;2016.000000;6760.000000;1.8;590964;1627192;21;4.1;19;11;2.9;5.9;2.9;0.90;13;17;7.9;1.9;4.9;1.9;0.90
95;1;1728.000000;6232.000000;1.8;590964;1627192;21;4.0;19;13;2.0;7.0;3.0;3.0;10;9.0;1.00;2.0;6.0;12;2.0
96;1;1672.000000;8912.000000;1.8;590964;1627192;21;3.9;19;3.9;1.9;16;3.9;3.9;12;7.9;0.90;5.9;4.9;6.9;0.90
97;1;1416.000000;16800.000000;1.8;590964;1627192;21;3.8;19;1.9;1.9;7.9;2.9;0.90;9.9;1.9;1.9;17;6.9;12;0.0
98;1;1760.000000;6608.000000;1.8;590964;1627192;21;3.9;19;1.00;19;7.0;2.0;1.00;10;1.00;3.0;14;5.0;4.0;3.0
99;1;1784.000000;4904.000000;1.8;590964;1627192;21;4.1;19;4.0;9.0;5.0;1.00;2.0;10;8.0;13;8.0;6.0;3.0;2.0
100;1;1808.000000;7104.000000;1.8;590964;1627192;21;3.8;19;11;12;5.0;2.0;2.0;10;4.0;12;2.0;5.0;4.0;1.00
101;1;1784.000000;14160.000000;1.8;590964;1627192;21;4.1;19;1.9;21;1.9;0.90;0.90;9.9;13;1.9;5.9;5.9;2.9;4.9
102;1;1936.000000;10728.000000;1.8;590964;1627192;21;4.2;19;3.0;16;2.0;1.00;6.0;15;10;2.0;6.0;8.0;2.0;2.0
103;1;1728.000000;5672.000000;1.8;590964;1627192;21;3.8;19;2.9;3.9;1.9;4.9;3.9;13;0.90;1.9;4.9;5.9;8.9;19
104;1;1696.000000;7424.000000;1.8;590964;1627192;21;3.9;19;1.00;2.0;4.0;5.0;8.0;10;4.0;6.0;6.0;5.0;2.0;15
105;1;1728.000000;7200.000000;1.8;590964;1627192;21;3.9;19;5.9;12;2.9;2.9;1.9;9.9;11;12;5.9;4.9;0.90;0.90
106;1;1736.000000;10560.000000;1.8;590964;1627192;21;4.0;19;5.0;20;1.00;6.0;2.0;10;11;1.00;5.0;5.0;1.00;1.00
107;1;1840.000000;12624.000000;1.8;590964;1627192;21;3.8;19;7.0;7.0;6.0;4.0;14;10;5.0;3.0;6.0;6.0;1.00;1.00
108;1;1696.000000;6776.000000;1.8;590964;1627192;21;4.2;19;2.9;13;12;3.9;3.9;9.9;3.9;7.9;5.9;5.9;1.9;0.90
109;1;1784.000000;5032.000000;1.8;590964;1627192;21;3.8;19;3.0;8.0;11;7.0;2.0;9.0;1.00;2.0;15;7.0;1.00;1.00
110;1;1728.000000;3904.000000;1.8;590964;1627192;21;4.2;19;2.0;0.0;4.0;3.0;2.0;10;13;1.00;21;10;3.0;4.0
111;1;1728.000000;6128.000000;1.8;590964;1627192;21;4.1;19;2.0;2.0;2.0;3.0;9.0;10;5.0;2.0;21;12;2.0;3.0
112;1;1784.000000;10616.000000;1.8;590964;1627192;21;3.8;19;1.9;1.9;3.9;9.9;2.9;9.9;0.90;11;4.9;17;0.90;0.90
113;1;1728.000000;8056.000000;1.8;590964;1627192;21;3.7;19;1.00;10;4.0;10;2.0;10;3.0;3.0;1.00;21;3.0;2.0
114;1;1928.000000;4264.000000;1.8;590964;1627192;21;3.8;19;4.9;6.9;0.90;14;1.9;8.9;2.9;4.9;0.90;14;0.90;2.9
115;1;1696.000000;8336.000000;1.8;590964;1627192;21;3.8;19;0.90;6.9;1.9;20;1.9;9.9;3.9;1.9;3.9;9.9;0.90;5.9
116;1;1728.000000;9936.000000;1.8;590964;1627192;21;3.8;19;6.0;2.0;3.0;20;2.0;12;2.0;8.0;2.0;9.0;1.00;1.00
117;1;1752.000000;10952.000000;1.8;590964;1627192;21;3.8;19;0.90;8.9;1.9;13;1.9;9.9;3.9;1.9;4.9;18;1.9;1.9
118;1;888;3864.000000;1.8;590964;1627192;21;4.1;19;1.00;3.0;2.0;9.0;6.0;10;14;2.0;1.00;21;1.00;2.0
119;1;1720.000000;4528.000000;1.8;590964;1627192;21;3.9;19;1.9;2.9;2.9;4.9;4.9;9.9;4.9;3.9;3.9;20;6.9;1.9
120;1;1728.000000;5864.000000;1.8;590964;1627192;21;3.8;19;0.90;0.90;2.9;16;6.9;8.9;1.9;1.9;0.90;12;12;0.90
121;1;1784.000000;6176.000000;1.8;590964;1627192;21;3.8;19;1.9;0.90;3.9;6.9;0.90;9.9;13;0.0;3.9;20;5.9;0.90
122;1;944;12080.000000;1.8;590964;1627192;21;4.1;19;0.90;8.9;3.9;4.9;12;9.9;2.9;12;1.9;4.9;4.9;1.9
123;1;1760.000000;3776.000000;1.8;590964;1627192;21;4.0;19;2.0;14;3.0;9.0;12;10;2.0;1.00;6.0;5.0;7.0;1.00
124;1;1792.000000;7560.000000;1.8;590964;1627192;21;3.8;19;1.00;2.0;4.0;20;5.0;9.0;6.0;9.0;1.00;8.0;2.0;1.00
125;1;1728.000000;6640.000000;1.8;590964;1627192;21;4.0;19;0.90;12;2.9;21;5.9;9.9;0.90;1.9;5.9;4.9;1.9;0.90
126;1;1752.000000;7192.000000;1.8;590964;1627192;21;3.9;19;3.9;7.9;3.9;4.9;17;9.9;1.9;0.90;6.9;7.9;3.9;0.90
127;1;1752.000000;8376.000000;1.8;590964;1627192;21;3.8;19;1.00;1.00;9.0;3.0;20;10;4.0;1.00;4.0;8.0;5.0;3.0
128;1;2064.000000;7208.000000;1.8;590964;1627192;21;3.9;19;1.9;5.9;1.9;3.9;16;9.9;4.9;1.9;1.9;6.9;7.9;7.9
129;1;1728.000000;4416.000000;1.8;590964;1627192;21;3.9;19;10;0.0;1.00;2.0;4.0;10;21;3.0;5.0;8.0;5.0;2.0
130;1;1640.000000;2328.000000;1.8;590964;1627192;21;3.9;19;1.00;10;3.0;4.0;16;9.0;5.0;4.0;1.00;5.0;8.0;1.00
131;1;1800.000000;9472.000000;1.8;590964;1627192;21;4.0;19;3.0;11;8.0;3.0;1.00;10;2.0;5.0;2.0;15;8.0;1.00
132;1;1840.000000;10656.000000;1.8;590964;1627192;21;3.9;19;1.9;2.9;5.9;5.9;1.9;9.9;4.9;1.9;4.9;20;4.9;3.9
133;1;1728.000000;8624.000000;1.8;590964;1627192;21;3.8;19;2.0;5.0;2.0;8.0;7.0;10;13;1.00;2.0;5.0;13;2.0
134;1;1752.000000;6648.000000;1.8;590964;1627192;21;4.1;19;2.0;20;2.0;2.0;6.0;10;8.0;3.0;3.0;5.0;7.0;4.0
135;1;1672.000000;2400.000000;1.8;590964;1627192;21;4.2;19;0.90;22;2.9;0.90;5.9;9.9;1.9;5.9;2.9;5.9;9.9;1.9
136;1;1744.000000;14816.000000;1.8;590964;1627192;21;4.1;19;3.0;15;13;1.00;8.0;10;2.0;7.0;3.0;5.0;1.00;2.0
137;1;1840.000000;7232.000000;1.8;590964;1627192;21;4.0;19;1.9;12;6.9;1.9;13;8.9;2.9;1.9;4.9;5.9;2.9;4.9
138;1;1728.000000;5296.000000;1.8;590964;1627192;21;3.8;19;4.9;6.9;0.90;2.9;21;9.9;1.9;3.9;1.9;5.9;7.9;1.9
139;1;1784.000000;6008.000000;1.8;590964;1627192;21;3.8;19;1.00;5.0;4.0;18;10;10;4.0;0.0;3.0;5.0;5.0;4.0
140;1;1672.000000;2856.000000;1.8;590964;1627192;21;3.9;19;4.9;13;2.9;0.90;1.9;9.9;20;2.9;2.9;4.9;5.9;0.90
141;1;1776.000000;14504.000000;1.8;590964;1627192;21;4.1;19;18;12;2.9;0.90;0.90;9.9;3.9;3.9;1.9;5.9;4.9;3.9
142;1;1840.000000;5936.000000;1.8;590964;1627192;21;4.0;19;5.0;5.0;4.0;11;2.0;10;15;3.0;2.0;5.0;5.0;5.0
143;1;1696.000000;5312.000000;1.8;590964;1627192;21;4.0;19;0.0;1.00;2.0;3.0;1.00;11;11;2.0;6.0;8.0;6.0;21
144;1;1784.000000;6200.000000;1.8;590964;1627192;21;4.2;19;5.0;1.00;1.00;3.0;2.0;10;11;2.0;2.0;8.0;9.0;16
145;1;1672.000000;2856.000000;1.8;590964;1627192;21;3.8;19;3.9;9.9;4.9;0.90;5.9;8.9;2.9;2.9;2.9;4.9;20;0.90
146;1;1776.000000;14936.000000;1.8;590964;1627192;21;4.0;19;2.0;7.0;1.00;3.0;5.0;10;1.00;10;1.00;9.0;21;1.00
147;1;1840.000000;5536.000000;1.8;590964;1627192;21;3.9;19;0.90;4.9;4.9;3.9;4.9;9.9;1.9;0.90;9.9;4.9;21;2.9
148;1;1696.000000;6720.000000;1.8;590964;1627192;21;3.9;19;1.00;1.00;3.0;2.0;5.0;10;1.00;2.0;13;9.0;20;3.0
149;1;1752.000000;3664.000000;1.8;590964;1627192;21;3.8;19;0.90;1.9;4.9;1.9;5.9;8.9;0.90;0.90;13;6.9;20;1.9
150;1;1672.000000;2616.000000;1.8;590964;1627192;21;3.8;19;18;4.0;1.00;1.00;5.0;10;5.0;2.0;12;6.0;5.0;1.00
151;1;1776.000000;15488.000000;1.8;590964;1627192;21;3.9;19;20;6.9;4.9;5.9;5.9;9.9;3.9;0.90;2.9;4.9;1.9;1.9
152;1;1784.000000;5424.000000;1.8;590964;1627192;21;4.0;19;14;9.0;4.0;2.0;5.0;10;3.0;8.0;1.00;7.0;5.0;1.00
153;1;1696.000000;8376.000000;1.8;590964;1627192;21;3.9;19;2.9;18;0.90;1.9;5.9;9.9;3.9;6.9;6.9;4.9;3.9;1.9
154;1;1816.000000;3688.000000;1.8;590964;1627192;21;4.0;19;2.0;21;5.0;2.0;5.0;9.0;4.0;5.0;9.0;6.0;3.0;1.00
155;1;1672.000000;2384.000000;1.8;590964;1627192;21;4.2;19;2.9;21;6.9;1.9;4.9;9.9;0.90;9.9;0.90;6.9;3.9;0.90
156;1;1712.000000;8648.000000;1.8;590964;1627192;21;4.1;19;3.0;20;4.0;1.00;6.0;10;2.0;11;3.0;8.0;2.0;1.00
157;1;1784.000000;6384.000000;1.8;590964;1627192;21;3.9;19;3.9;9.9;3.9;3.9;5.9;11;0.90;4.9;9.9;14;0.90;2.9
158;1;1728.000000;9072.000000;1.8;590964;1627192;21;3.9;19;2.9;13;1.9;11;4.9;9.9;1.9;0.90;0.90;21;1.9;1.9
159;1;1784.000000;3312.000000;1.8;590964;1627192;21;4.0;19;1.9;9.9;1.9;4.9;5.9;8.9;4.9;2.9;1.9;21;0.90;0.90
160;1;1672.000000;3272.000000;1.8;590964;1627192;21;3.9;19;4.0;4.0;3.0;5.0;5.0;10;2.0;9.0;1.00;6.0;18;2.0
161;1;1808.000000;12856.000000;1.8;590964;1627192;21;3.9;19;3.9;0.90;0.90;5.9;16;9.9;11;3.9;3.9;0.90;11;1.9
162;1;1784.000000;9984.000000;1.8;590964;1627192;21;3.9;19;1.00;10;2.0;8.0;7.0;10;0.0;1.00;1.00;10;17;2.0
163;1;1688.000000;9272.000000;1.8;590964;1627192;21;4.0;19;1.9;1.9;3.9;6.9;6.9;9.9;8.9;3.9;0.90;6.9;21;0.90
164;1;1784.000000;6656.000000;1.8;590964;1627192;21;3.9;19;1.00;11;1.00;9.0;1.00;10;1.00;2.0;2.0;9.0;20;1.00
165;1;1672.000000;2400.000000;1.8;590964;1627192;21;4.4;19;3.9;3.9;1.9;5.9;3.9;9.9;12;3.9;19;5.9;0.90;1.9
166;1;1776.000000;14216.000000;1.8;590964;1627192;21;4.2;19;2.0;10;4.0;8.0;1.00;11;13;12;2.0;6.0;4.0;1.00
167;1;1752.000000;6064.000000;1.8;590964;1627192;21;4.3;19;4.9;13;8.9;5.9;1.9;8.9;3.9;1.9;11;6.9;2.9;0.90
168;1;1776.000000;7544.000000;1.8;590964;1627192;21;3.9;19;3.0;3.0;10;16;2.0;10;3.0;3.0;2.0;9.0;8.0;2.0
169;1;1784.000000;3440.000000;1.8;590964;1627192;21;3.8;19;9.0;2.0;5.0;21;3.0;10;4.0;1.00;1.00;9.0;2.0;1.00
170;1;1672.000000;1920.000000;1.8;590964;1627192;21;3.7;19;1.00;1.00;12;12;3.0;9.0;1.00;1.00;1.00;19;2.0;1.00
171;1;1784.000000;7960.000000;1.8;590964;1627192;21;4.3;19;4.9;5.9;15;12;1.9;9.9;6.9;3.9;6.9;2.9;0.90;1.9
172;1;1784.000000;5128.000000;1.8;590964;1627192;21;3.8;19;7.9;11;12;9.9;0.90;9.9;2.9;1.9;6.9;2.9;1.9;0.90
173;1;1776.000000;6136.000000;1.8;590964;1627192;21;3.8;19;19;5.0;3.0;11;2.0;9.0;2.0;9.0;1.00;6.0;2.0;1.00
174;1;1808.000000;2536.000000;1.8;590964;1627192;21;3.8;19;20;2.0;1.00;9.0;2.0;12;1.00;1.00;1.00;3.0;11;4.0
175;1;1672.000000;2208.000000;1.8;590964;1627192;21;4.0;19;16;0.90;1.9;11;7.9;9.9;8.9;1.9;2.9;4.9;7.9;0.90
176;1;1720.000000;10088.000000;1.8;590964;1627192;21;3.8;19;12;3.0;1.00;10;13;10;9.0;1.00;1.00;1.00;2.0;4.0
